Fecha,Tipo Producto,Exportaciones Tm
2003-01-01,BIODIESEL,0
2003-02-01,BIODIESEL,0
2003-03-01,BIODIESEL,0
2003-04-01,BIODIESEL,0
2003-05-01,BIODIESEL,0
2003-06-01,BIODIESEL,0
2003-07-01,BIODIESEL,0
2003-08-01,BIODIESEL,0
2003-09-01,BIODIESEL,0
2003-10-01,BIODIESEL,0
2003-11-01,BIODIESEL,0
2003-12-01,BIODIESEL,0
2004-01-01,BIODIESEL,0
2004-02-01,BIODIESEL,0
2004-03-01,BIODIESEL,0
2004-04-01,BIODIESEL,0
2004-05-01,BIODIESEL,0
2004-06-01,BIODIESEL,0
2004-07-01,BIODIESEL,0
2004-08-01,BIODIESEL,0
2004-09-01,BIODIESEL,0
2004-10-01,BIODIESEL,0
2004-11-01,BIODIESEL,0
2004-12-01,BIODIESEL,0
2005-01-01,BIODIESEL,0
2005-02-01,BIODIESEL,0
2005-03-01,BIODIESEL,0
2005-04-01,BIODIESEL,0
2005-05-01,BIODIESEL,0
2005-06-01,BIODIESEL,0
2005-07-01,BIODIESEL,0
2005-08-01,BIODIESEL,0
2005-09-01,BIODIESEL,0
2005-10-01,BIODIESEL,0
2005-11-01,BIODIESEL,0
2005-12-01,BIODIESEL,0
2006-01-01,BIODIESEL,0
2006-02-01,BIODIESEL,0
2006-03-01,BIODIESEL,0
2006-04-01,BIODIESEL,0
2006-05-01,BIODIESEL,0
2006-06-01,BIODIESEL,0
2006-07-01,BIODIESEL,0
2006-08-01,BIODIESEL,0
2006-09-01,BIODIESEL,0
2006-10-01,BIODIESEL,0
2006-11-01,BIODIESEL,0
2006-12-01,BIODIESEL,0
2007-01-01,BIODIESEL,3984
2007-02-01,BIODIESEL,1207
2007-03-01,BIODIESEL,1114
2007-04-01,BIODIESEL,1821
2007-05-01,BIODIESEL,1689
2007-06-01,BIODIESEL,4949
2007-07-01,BIODIESEL,1643
2007-08-01,BIODIESEL,2077
2007-09-01,BIODIESEL,1126
2007-10-01,BIODIESEL,2309
2007-11-01,BIODIESEL,1944
2007-12-01,BIODIESEL,1481
2008-01-01,BIODIESEL,1747
2008-02-01,BIODIESEL,2597
2008-03-01,BIODIESEL,2036
2008-04-01,BIODIESEL,3025
2008-05-01,BIODIESEL,4491
2008-06-01,BIODIESEL,2133
2008-07-01,BIODIESEL,2128
2008-08-01,BIODIESEL,1196
2008-09-01,BIODIESEL,2292
2008-10-01,BIODIESEL,2406
2008-11-01,BIODIESEL,2230
2008-12-01,BIODIESEL,1979
2009-01-01,BIODIESEL,7927
2009-02-01,BIODIESEL,3291
2009-03-01,BIODIESEL,5168
2009-04-01,BIODIESEL,1542
2009-05-01,BIODIESEL,2479
2009-06-01,BIODIESEL,7136
2009-07-01,BIODIESEL,1521
2009-08-01,BIODIESEL,12674
2009-09-01,BIODIESEL,22654
2009-10-01,BIODIESEL,30539
2009-11-01,BIODIESEL,30470
2009-12-01,BIODIESEL,16806
2010-01-01,BIODIESEL,30408
2010-02-01,BIODIESEL,14423
2010-03-01,BIODIESEL,21086
2010-04-01,BIODIESEL,28772
2010-05-01,BIODIESEL,33140
2010-06-01,BIODIESEL,25094
2010-07-01,BIODIESEL,34603
2010-08-01,BIODIESEL,42578
2010-09-01,BIODIESEL,17728
2010-10-01,BIODIESEL,22289
2010-11-01,BIODIESEL,20782
2010-12-01,BIODIESEL,40126
2011-01-01,BIODIESEL,36229
2011-02-01,BIODIESEL,37947
2011-03-01,BIODIESEL,43267
2011-04-01,BIODIESEL,17716
2011-05-01,BIODIESEL,27689
2011-06-01,BIODIESEL,34914
2011-07-01,BIODIESEL,17365
2011-08-01,BIODIESEL,43309
2011-09-01,BIODIESEL,34750
2011-10-01,BIODIESEL,35141
2011-11-01,BIODIESEL,37918
2011-12-01,BIODIESEL,34738
2012-01-01,BIODIESEL,29437
2012-02-01,BIODIESEL,52271
2012-03-01,BIODIESEL,49037
2012-04-01,BIODIESEL,53141
2012-05-01,BIODIESEL,47764
2012-06-01,BIODIESEL,37950
2012-07-01,BIODIESEL,48537
2012-08-01,BIODIESEL,35111
2012-09-01,BIODIESEL,34878
2012-10-01,BIODIESEL,33320
2012-11-01,BIODIESEL,42417
2012-12-01,BIODIESEL,46877
2013-01-01,BIODIESEL,32214
2013-02-01,BIODIESEL,55124
2013-03-01,BIODIESEL,58885
2013-04-01,BIODIESEL,50403
2013-05-01,BIODIESEL,69984
2013-06-01,BIODIESEL,71744
2013-07-01,BIODIESEL,66160
2013-08-01,BIODIESEL,59751
2013-09-01,BIODIESEL,61876
2013-10-01,BIODIESEL,33883
2013-11-01,BIODIESEL,45410
2013-12-01,BIODIESEL,33213
2014-01-01,BIODIESEL,52437
2014-02-01,BIODIESEL,109694
2014-03-01,BIODIESEL,115726
2014-04-01,BIODIESEL,98873
2014-05-01,BIODIESEL,109715
2014-06-01,BIODIESEL,96747
2014-07-01,BIODIESEL,178598
2014-08-01,BIODIESEL,100202
2014-09-01,BIODIESEL,101580
2014-10-01,BIODIESEL,60624
2014-11-01,BIODIESEL,182948
2014-12-01,BIODIESEL,106519
2015-01-01,BIODIESEL,97145
2015-02-01,BIODIESEL,52523
2015-03-01,BIODIESEL,128583
2015-04-01,BIODIESEL,86267
2015-05-01,BIODIESEL,73458
2015-06-01,BIODIESEL,88314
2015-07-01,BIODIESEL,107903
2015-08-01,BIODIESEL,103870
2015-09-01,BIODIESEL,56339
2015-10-01,BIODIESEL,76551
2015-11-01,BIODIESEL,72404
2015-12-01,BIODIESEL,50740
2016-01-01,BIODIESEL,76428
2016-02-01,BIODIESEL,83833
2016-03-01,BIODIESEL,113713
2016-04-01,BIODIESEL,113056
2016-05-01,BIODIESEL,117362
2016-06-01,BIODIESEL,97920
2016-07-01,BIODIESEL,131095
2016-08-01,BIODIESEL,136317
2016-09-01,BIODIESEL,105745
2016-10-01,BIODIESEL,80315
2016-11-01,BIODIESEL,68959
2016-12-01,BIODIESEL,75482
2017-01-01,BIODIESEL,98669
2017-02-01,BIODIESEL,106408
2017-03-01,BIODIESEL,104566
2017-04-01,BIODIESEL,107110
2017-05-01,BIODIESEL,121402
2017-06-01,BIODIESEL,151159
2017-07-01,BIODIESEL,133257
2017-08-01,BIODIESEL,166286
2017-09-01,BIODIESEL,151842
2017-10-01,BIODIESEL,139210
2017-11-01,BIODIESEL,114280
2017-12-01,BIODIESEL,125141
2018-01-01,BIODIESEL,91257
2018-02-01,BIODIESEL,121608
2018-03-01,BIODIESEL,90672
2018-04-01,BIODIESEL,182738
2018-05-01,BIODIESEL,212867
2018-06-01,BIODIESEL,264874
2018-07-01,BIODIESEL,122991
2018-08-01,BIODIESEL,187085
2018-09-01,BIODIESEL,165455
2018-10-01,BIODIESEL,219802
2018-11-01,BIODIESEL,170091
2018-12-01,BIODIESEL,243754
2019-01-01,BIODIESEL,141400
2019-02-01,BIODIESEL,102824
2019-03-01,BIODIESEL,142046
2019-04-01,BIODIESEL,238900
2019-05-01,BIODIESEL,261691
2019-06-01,BIODIESEL,242335
2019-07-01,BIODIESEL,192941
2019-08-01,BIODIESEL,274079
2019-09-01,BIODIESEL,258190
2019-10-01,BIODIESEL,128339
2019-11-01,BIODIESEL,140746
2019-12-01,BIODIESEL,128914
2020-01-01,BIODIESEL,109105
2020-02-01,BIODIESEL,77004
2020-03-01,BIODIESEL,151669
2020-04-01,BIODIESEL,111479
2020-05-01,BIODIESEL,129312
2020-06-01,BIODIESEL,254131
2020-07-01,BIODIESEL,176157
2020-08-01,BIODIESEL,250599
2020-09-01,BIODIESEL,207101
2020-10-01,BIODIESEL,168433
2020-11-01,BIODIESEL,171059
2020-12-01,BIODIESEL,136787
2021-01-01,BIODIESEL,209742
2021-02-01,BIODIESEL,130197
2021-03-01,BIODIESEL,191506
2021-04-01,BIODIESEL,124855
2021-05-01,BIODIESEL,207930
2021-06-01,BIODIESEL,307960
2021-07-01,BIODIESEL,204956
2021-08-01,BIODIESEL,249657
2021-09-01,BIODIESEL,257990
2021-10-01,BIODIESEL,260232
2021-11-01,BIODIESEL,207525
2021-12-01,BIODIESEL,229736
2022-01-01,BIODIESEL,176229
2022-02-01,BIODIESEL,179391
2022-03-01,BIODIESEL,168366
2022-04-01,BIODIESEL,258333
2022-05-01,BIODIESEL,179691
2022-06-01,BIODIESEL,177246
2022-07-01,BIODIESEL,209748
2022-08-01,BIODIESEL,218782
2022-09-01,BIODIESEL,202027
2022-10-01,BIODIESEL,169452
2022-11-01,BIODIESEL,166017
2022-12-01,BIODIESEL,174038
2023-01-01,BIODIESEL,174420
2023-02-01,BIODIESEL,119527
2023-03-01,BIODIESEL,136351
2023-04-01,BIODIESEL,114264
2023-05-01,BIODIESEL,170675
2023-06-01,BIODIESEL,118573
2023-07-01,BIODIESEL,138549
2023-08-01,BIODIESEL,160824
2023-09-01,BIODIESEL,92360
2023-10-01,BIODIESEL,168218
2023-11-01,BIODIESEL,136897
2023-12-01,BIODIESEL,151277
