Fecha;Tipo Producto;Exportaciones Tm
2003-01;BIODIESEL;0
2003-01;GASÓLEO A;38444
2003-01;GASÓLEO B;2019
2003-01;GASÓLEO C;5
2003-01;OTROS GASOLEOS;68
2003-01;BIOETANOL;0
2003-01;GASOLINA  AUTO. S/PB 95 I.O.;49660
2003-01;GASOLINA  AUTO. S/PB 98 I.O.;4284
2003-01;OTRAS GASOLINAS;54214
2003-01;FUELÓLEO  BIA;0
2003-01;OTROS FUELÓLEOS;167172
2003-01;QUEROSENO AVIACIÓN;45060
2003-01;OTROS QUEROSENOS;0
2003-01;GLP;8651
2003-02;BIODIESEL;0
2003-02;GASÓLEO A;34022
2003-02;GASÓLEO B;3309
2003-02;GASÓLEO C;0
2003-02;OTROS GASOLEOS;51
2003-02;BIOETANOL;0
2003-02;GASOLINA  AUTO. S/PB 95 I.O.;14215
2003-02;GASOLINA  AUTO. S/PB 98 I.O.;3897
2003-02;OTRAS GASOLINAS;58516
2003-02;FUELÓLEO  BIA;0
2003-02;OTROS FUELÓLEOS;31597
2003-02;QUEROSENO AVIACIÓN;19491
2003-02;OTROS QUEROSENOS;0
2003-02;GLP;8361
2003-03;BIODIESEL;0
2003-03;GASÓLEO A;27163
2003-03;GASÓLEO B;1951
2003-03;GASÓLEO C;0
2003-03;OTROS GASOLEOS;19318
2003-03;BIOETANOL;0
2003-03;GASOLINA  AUTO. S/PB 95 I.O.;69944
2003-03;GASOLINA  AUTO. S/PB 98 I.O.;4007
2003-03;OTRAS GASOLINAS;122135
2003-03;FUELÓLEO  BIA;0
2003-03;OTROS FUELÓLEOS;0
2003-03;QUEROSENO AVIACIÓN;78061
2003-03;OTROS QUEROSENOS;0
2003-03;GLP;7481
2003-04;BIODIESEL;0
2003-04;GASÓLEO A;44444
2003-04;GASÓLEO B;1506
2003-04;GASÓLEO C;0
2003-04;OTROS GASOLEOS;48792
2003-04;BIOETANOL;0
2003-04;GASOLINA  AUTO. S/PB 95 I.O.;105148
2003-04;GASOLINA  AUTO. S/PB 98 I.O.;4369
2003-04;OTRAS GASOLINAS;96177
2003-04;FUELÓLEO  BIA;0
2003-04;OTROS FUELÓLEOS;69424
2003-04;QUEROSENO AVIACIÓN;1570
2003-04;OTROS QUEROSENOS;0
2003-04;GLP;6544
2003-05;BIODIESEL;0
2003-05;GASÓLEO A;37594
2003-05;GASÓLEO B;916
2003-05;GASÓLEO C;0
2003-05;OTROS GASOLEOS;47417
2003-05;BIOETANOL;0
2003-05;GASOLINA  AUTO. S/PB 95 I.O.;94137
2003-05;GASOLINA  AUTO. S/PB 98 I.O.;70143
2003-05;OTRAS GASOLINAS;144499
2003-05;FUELÓLEO  BIA;0
2003-05;OTROS FUELÓLEOS;115115
2003-05;QUEROSENO AVIACIÓN;32016
2003-05;OTROS QUEROSENOS;0
2003-05;GLP;5375
2003-06;BIODIESEL;0
2003-06;GASÓLEO A;30160
2003-06;GASÓLEO B;1534
2003-06;GASÓLEO C;0
2003-06;OTROS GASOLEOS;15781
2003-06;BIOETANOL;0
2003-06;GASOLINA  AUTO. S/PB 95 I.O.;119971
2003-06;GASOLINA  AUTO. S/PB 98 I.O.;11489
2003-06;OTRAS GASOLINAS;143299
2003-06;FUELÓLEO  BIA;0
2003-06;OTROS FUELÓLEOS;502
2003-06;QUEROSENO AVIACIÓN;47470
2003-06;OTROS QUEROSENOS;774
2003-06;GLP;5039
2003-07;BIODIESEL;0
2003-07;GASÓLEO A;35400
2003-07;GASÓLEO B;1227
2003-07;GASÓLEO C;0
2003-07;OTROS GASOLEOS;11872
2003-07;BIOETANOL;0
2003-07;GASOLINA  AUTO. S/PB 95 I.O.;77693
2003-07;GASOLINA  AUTO. S/PB 98 I.O.;4012
2003-07;OTRAS GASOLINAS;78633
2003-07;FUELÓLEO  BIA;0
2003-07;OTROS FUELÓLEOS;120786
2003-07;QUEROSENO AVIACIÓN;34415
2003-07;OTROS QUEROSENOS;792
2003-07;GLP;5565
2003-08;BIODIESEL;0
2003-08;GASÓLEO A;43943
2003-08;GASÓLEO B;954
2003-08;GASÓLEO C;0
2003-08;OTROS GASOLEOS;47669
2003-08;BIOETANOL;0
2003-08;GASOLINA  AUTO. S/PB 95 I.O.;44065
2003-08;GASOLINA  AUTO. S/PB 98 I.O.;4617
2003-08;OTRAS GASOLINAS;89917
2003-08;FUELÓLEO  BIA;0
2003-08;OTROS FUELÓLEOS;149395
2003-08;QUEROSENO AVIACIÓN;18672
2003-08;OTROS QUEROSENOS;0
2003-08;GLP;4323
2003-09;BIODIESEL;0
2003-09;GASÓLEO A;37138
2003-09;GASÓLEO B;902
2003-09;GASÓLEO C;0
2003-09;OTROS GASOLEOS;38629
2003-09;BIOETANOL;0
2003-09;GASOLINA  AUTO. S/PB 95 I.O.;36977
2003-09;GASOLINA  AUTO. S/PB 98 I.O.;4225
2003-09;OTRAS GASOLINAS;25415
2003-09;FUELÓLEO  BIA;0
2003-09;OTROS FUELÓLEOS;128875
2003-09;QUEROSENO AVIACIÓN;13280
2003-09;OTROS QUEROSENOS;789
2003-09;GLP;5150
2003-10;BIODIESEL;0
2003-10;GASÓLEO A;28599
2003-10;GASÓLEO B;1601
2003-10;GASÓLEO C;16900
2003-10;OTROS GASOLEOS;15941
2003-10;BIOETANOL;0
2003-10;GASOLINA  AUTO. S/PB 95 I.O.;19640
2003-10;GASOLINA  AUTO. S/PB 98 I.O.;2795
2003-10;OTRAS GASOLINAS;26200
2003-10;FUELÓLEO  BIA;0
2003-10;OTROS FUELÓLEOS;1615
2003-10;QUEROSENO AVIACIÓN;4622
2003-10;OTROS QUEROSENOS;0
2003-10;GLP;5895
2003-11;BIODIESEL;0
2003-11;GASÓLEO A;35614
2003-11;GASÓLEO B;1467
2003-11;GASÓLEO C;8450
2003-11;OTROS GASOLEOS;28084
2003-11;BIOETANOL;0
2003-11;GASOLINA  AUTO. S/PB 95 I.O.;17409
2003-11;GASOLINA  AUTO. S/PB 98 I.O.;2966
2003-11;OTRAS GASOLINAS;92058
2003-11;FUELÓLEO  BIA;0
2003-11;OTROS FUELÓLEOS;37863
2003-11;QUEROSENO AVIACIÓN;36676
2003-11;OTROS QUEROSENOS;0
2003-11;GLP;5914
2003-12;BIODIESEL;0
2003-12;GASÓLEO A;37495
2003-12;GASÓLEO B;2310
2003-12;GASÓLEO C;27040
2003-12;OTROS GASOLEOS;32937
2003-12;BIOETANOL;0
2003-12;GASOLINA  AUTO. S/PB 95 I.O.;59065
2003-12;GASOLINA  AUTO. S/PB 98 I.O.;8025
2003-12;OTRAS GASOLINAS;50521
2003-12;FUELÓLEO  BIA;0
2003-12;OTROS FUELÓLEOS;61699
2003-12;QUEROSENO AVIACIÓN;2117
2003-12;OTROS QUEROSENOS;0
2003-12;GLP;7987
2004-01;BIODIESEL;0
2004-01;GASÓLEO A;37326
2004-01;GASÓLEO B;3270
2004-01;GASÓLEO C;0
2004-01;OTROS GASOLEOS;19046
2004-01;BIOETANOL;0
2004-01;GASOLINA  AUTO. S/PB 95 I.O.;59202
2004-01;GASOLINA  AUTO. S/PB 98 I.O.;9638
2004-01;OTRAS GASOLINAS;33342
2004-01;FUELÓLEO  BIA;0
2004-01;OTROS FUELÓLEOS;87119
2004-01;QUEROSENO AVIACIÓN;5672
2004-01;OTROS QUEROSENOS;0
2004-01;GLP;8253
2004-02;BIODIESEL;0
2004-02;GASÓLEO A;30012
2004-02;GASÓLEO B;1982
2004-02;GASÓLEO C;0
2004-02;OTROS GASOLEOS;49157
2004-02;BIOETANOL;0
2004-02;GASOLINA  AUTO. S/PB 95 I.O.;38082
2004-02;GASOLINA  AUTO. S/PB 98 I.O.;5164
2004-02;OTRAS GASOLINAS;36749
2004-02;FUELÓLEO  BIA;0
2004-02;OTROS FUELÓLEOS;124569
2004-02;QUEROSENO AVIACIÓN;79079
2004-02;OTROS QUEROSENOS;0
2004-02;GLP;7056
2004-03;BIODIESEL;0
2004-03;GASÓLEO A;34324
2004-03;GASÓLEO B;3042
2004-03;GASÓLEO C;0
2004-03;OTROS GASOLEOS;18406
